epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.0114,1.33404,2.82172,1.38378,0.5917,0.09732,0.20594,0.11256,2.30347,3.49808,2.31244,7.777e-05,7.777e-05,7.777e-05
2,14.4992,1.34136,2.30894,1.40551,0.4684,0.38798,0.32144,0.16557,2.29626,3.2258,2.23351,0.000161151,0.000161151,0.000161151
3,17.9448,1.32313,2.12581,1.45694,0.58238,0.34612,0.36438,0.20019,1.87469,3.08261,1.95833,0.000238665,0.000238665,0.000238665
4,21.7902,1.29962,1.813,1.40474,0.72027,0.37425,0.44883,0.27087,1.77092,2.82155,1.8465,0.000310313,0.000310313,0.000310313
5,26.1659,1.33306,1.70862,1.44581,0.67558,0.40432,0.45758,0.27021,1.7478,3.03841,1.70067,0.000376096,0.000376096,0.000376096
6,29.3673,1.31134,1.54944,1.36142,0.54849,0.52069,0.52427,0.29971,1.80782,2.48479,1.66432,0.000436012,0.000436012,0.000436012
7,32.5676,1.32319,1.47788,1.38137,0.54669,0.52638,0.53055,0.30587,1.74649,2.37009,1.60268,0.000490062,0.000490062,0.000490062
8,36.275,1.27669,1.45571,1.38895,0.762,0.54139,0.61128,0.35479,1.82599,3.2118,1.76195,0.000538246,0.000538246,0.000538246
9,40.3493,1.32342,1.40255,1.40091,0.70523,0.59383,0.62441,0.35498,1.98055,3.45004,2.02236,0.000580564,0.000580564,0.000580564
10,43.3807,1.23651,1.27964,1.30983,0.72632,0.63515,0.65903,0.36583,1.95224,3.81048,1.92088,0.000617016,0.000617016,0.000617016
11,46.476,1.24193,1.2229,1.31497,0.6599,0.64915,0.64043,0.37063,1.74775,2.30758,1.71602,0.000647602,0.000647602,0.000647602
12,49.8723,1.25834,1.24947,1.29994,0.69445,0.64803,0.69153,0.38447,1.6729,2.19166,1.69378,0.000672322,0.000672322,0.000672322
13,54.2203,1.27276,1.19809,1.31711,0.69233,0.58703,0.64785,0.36951,1.72367,2.39037,1.70031,0.000671044,0.000671044,0.000671044
14,57.5076,1.26222,1.13399,1.30208,0.66806,0.6186,0.67208,0.37363,1.74836,1.71543,1.7023,0.000634381,0.000634381,0.000634381
15,60.5026,1.25516,1.17789,1.30186,0.67829,0.66701,0.68646,0.37294,1.70572,1.68608,1.63308,0.000597718,0.000597718,0.000597718
16,63.7361,1.27167,1.15887,1.30363,0.70208,0.68512,0.68066,0.38276,1.72759,1.75227,1.69682,0.000561055,0.000561055,0.000561055
17,68.167,1.207,1.1836,1.30245,0.79668,0.64261,0.68584,0.39119,1.80186,1.67784,1.77855,0.000524392,0.000524392,0.000524392
18,71.3161,1.21311,1.13446,1.32499,0.85458,0.56031,0.70225,0.38946,1.78649,1.69946,1.68577,0.000487729,0.000487729,0.000487729
19,74.4157,1.18027,1.15916,1.28109,0.78135,0.59214,0.71554,0.39713,1.73501,1.72559,1.63425,0.000451066,0.000451066,0.000451066
20,77.5007,1.1969,1.13589,1.28123,0.79813,0.63122,0.72746,0.42985,1.66956,1.62753,1.61029,0.000414403,0.000414403,0.000414403
21,84.8547,1.10392,1.13441,1.22853,0.76372,0.6957,0.75663,0.45255,1.70196,1.63201,1.60313,0.00037774,0.00037774,0.00037774
22,88.5687,1.08465,1.07742,1.20885,0.82386,0.68412,0.76644,0.44383,1.72549,1.57209,1.59829,0.000341077,0.000341077,0.000341077
23,91.5987,1.10874,1.06388,1.22488,0.85793,0.67374,0.76824,0.44165,1.63893,1.45896,1.51501,0.000304414,0.000304414,0.000304414
24,96.5009,1.09259,1.03197,1.22082,0.83872,0.72727,0.77211,0.44447,1.63711,1.42701,1.5567,0.000267751,0.000267751,0.000267751
25,99.4725,1.07514,1.04002,1.20668,0.84598,0.72427,0.78318,0.45073,1.6425,1.47084,1.5638,0.000231088,0.000231088,0.000231088
26,102.494,1.04919,1.03057,1.19992,0.81878,0.74342,0.80633,0.45805,1.59578,1.51463,1.52126,0.000194425,0.000194425,0.000194425
27,105.474,1.04627,0.98094,1.16834,0.8238,0.72281,0.79903,0.46157,1.62963,1.57221,1.54562,0.000157762,0.000157762,0.000157762
28,109.957,1.02987,0.98736,1.17122,0.833,0.70505,0.79555,0.45495,1.65189,1.597,1.56421,0.000121099,0.000121099,0.000121099
29,112.93,1.0226,0.94718,1.16334,0.85147,0.69399,0.7964,0.45793,1.65009,1.61206,1.57249,8.4436e-05,8.4436e-05,8.4436e-05
30,116.105,1.04587,0.95165,1.17695,0.86386,0.69767,0.79471,0.46179,1.65839,1.5897,1.57831,4.7773e-05,4.7773e-05,4.7773e-05
